status file for recon-all
Tue Jun  3 11:14:35 UTC 2025
#@# MotionCor Tue Jun  3 11:14:37 UTC 2025
#@# Talairach Tue Jun  3 11:14:45 UTC 2025
#@# Talairach Failure Detection Tue Jun  3 11:17:55 UTC 2025
#@# Nu Intensity Correction Tue Jun  3 11:17:55 UTC 2025
#@# Intensity Normalization Tue Jun  3 11:21:09 UTC 2025
#@# Skull Stripping Tue Jun  3 11:24:17 UTC 2025
#@# EM Registration Tue Jun  3 11:37:38 UTC 2025
#@# CA Normalize Tue Jun  3 11:48:00 UTC 2025
#@# CA Reg Tue Jun  3 11:49:22 UTC 2025
#@# SubCort Seg Tue Jun  3 13:59:26 UTC 2025
#@# CC Seg Tue Jun  3 14:47:01 UTC 2025
#@# Merge ASeg Tue Jun  3 14:48:00 UTC 2025
#@# Intensity Normalization2 Tue Jun  3 14:48:00 UTC 2025
#@# Mask BFS Tue Jun  3 14:52:27 UTC 2025
#@# WM Segmentation Tue Jun  3 14:52:29 UTC 2025
#@# Fill Tue Jun  3 14:57:23 UTC 2025
#@# Tessellate lh Tue Jun  3 14:58:53 UTC 2025
#@# Tessellate rh Tue Jun  3 14:58:57 UTC 2025
#@# Smooth1 lh Tue Jun  3 14:59:02 UTC 2025
#@# Smooth1 rh Tue Jun  3 14:59:05 UTC 2025
#@# Inflation1 lh Tue Jun  3 14:59:08 UTC 2025
#@# Inflation1 rh Tue Jun  3 14:59:21 UTC 2025
#@# QSphere lh Tue Jun  3 14:59:35 UTC 2025
#@# QSphere rh Tue Jun  3 15:01:14 UTC 2025
#@# Fix Topology lh Tue Jun  3 15:02:53 UTC 2025
#@# Fix Topology rh Tue Jun  3 15:04:42 UTC 2025
#@# Smooth2 lh Tue Jun  3 15:18:14 UTC 2025
#@# Smooth2 rh Tue Jun  3 15:18:17 UTC 2025
#@# Inflation2 lh Tue Jun  3 15:18:20 UTC 2025
#@# Inflation2 rh Tue Jun  3 15:18:36 UTC 2025
#@# Curv .H and .K lh Tue Jun  3 15:18:52 UTC 2025
#@# Curv .H and .K rh Tue Jun  3 15:19:31 UTC 2025
#@# Sphere lh Tue Jun  3 15:20:11 UTC 2025
#@# Sphere rh Tue Jun  3 15:25:48 UTC 2025
#@# Surf Reg lh Tue Jun  3 15:34:24 UTC 2025
#@# Surf Reg rh Tue Jun  3 15:40:47 UTC 2025
#@# Jacobian white lh Tue Jun  3 15:46:43 UTC 2025
#@# Jacobian white rh Tue Jun  3 15:46:45 UTC 2025
#@# AvgCurv lh Tue Jun  3 15:46:46 UTC 2025
#@# AvgCurv rh Tue Jun  3 15:46:46 UTC 2025
#@# Cortical Parc lh Tue Jun  3 15:46:47 UTC 2025
#@# Cortical Parc rh Tue Jun  3 15:47:00 UTC 2025
#@# white curv lh Tue Jun  3 16:02:31 UTC 2025
#@# white area lh Tue Jun  3 16:02:33 UTC 2025
#@# pial curv lh Tue Jun  3 16:02:34 UTC 2025
#@# pial area lh Tue Jun  3 16:02:36 UTC 2025
#@# thickness lh Tue Jun  3 16:02:37 UTC 2025
#@# area and vertex vol lh Tue Jun  3 16:03:01 UTC 2025
#@# white curv rh Tue Jun  3 16:03:03 UTC 2025
#@# white area rh Tue Jun  3 16:03:05 UTC 2025
#@# pial curv rh Tue Jun  3 16:03:05 UTC 2025
#@# pial area rh Tue Jun  3 16:03:07 UTC 2025
#@# thickness rh Tue Jun  3 16:03:08 UTC 2025
#@# area and vertex vol rh Tue Jun  3 16:03:32 UTC 2025
#@# Curvature Stats lh Tue Jun  3 16:03:34 UTC 2025
#@# Curvature Stats rh Tue Jun  3 16:03:36 UTC 2025
#@# Cortical ribbon mask Tue Jun  3 16:03:39 UTC 2025
#@# Cortical Parc 2 lh Tue Jun  3 16:08:27 UTC 2025
#@# Cortical Parc 2 rh Tue Jun  3 16:08:44 UTC 2025
#@# Cortical Parc 3 lh Tue Jun  3 16:09:01 UTC 2025
#@# Cortical Parc 3 rh Tue Jun  3 16:09:14 UTC 2025
#@# WM/GM Contrast lh Tue Jun  3 16:09:27 UTC 2025
#@# WM/GM Contrast rh Tue Jun  3 16:09:30 UTC 2025
#@# Relabel Hypointensities Tue Jun  3 16:09:33 UTC 2025
#@# APas-to-ASeg Tue Jun  3 16:09:59 UTC 2025
#@# AParc-to-ASeg aparc Tue Jun  3 16:10:16 UTC 2025
#@# AParc-to-ASeg aparc.a2009s Tue Jun  3 16:12:34 UTC 2025
#@# AParc-to-ASeg aparc.DKTatlas Tue Jun  3 16:14:53 UTC 2025
#@# WMParc Tue Jun  3 16:17:10 UTC 2025
#@# Parcellation Stats lh Tue Jun  3 16:24:00 UTC 2025
#@# Parcellation Stats rh Tue Jun  3 16:24:18 UTC 2025
#@# Parcellation Stats 2 lh Tue Jun  3 16:24:37 UTC 2025
#@# Parcellation Stats 2 rh Tue Jun  3 16:24:47 UTC 2025
#@# Parcellation Stats 3 lh Tue Jun  3 16:24:57 UTC 2025
#@# Parcellation Stats 3 rh Tue Jun  3 16:25:06 UTC 2025
#@# ASeg Stats Tue Jun  3 16:25:15 UTC 2025
#@# BA_exvivo Labels lh Tue Jun  3 16:28:23 UTC 2025
#@# BA_exvivo Labels rh Tue Jun  3 16:32:04 UTC 2025
recon-all -s sub-034 finished without error at Tue Jun  3 16:35:43 UTC 2025
