status file for recon-all
Wed Jun  4 08:07:50 UTC 2025
#@# MotionCor Wed Jun  4 08:07:53 UTC 2025
#@# Talairach Wed Jun  4 08:08:02 UTC 2025
#@# Talairach Failure Detection Wed Jun  4 08:11:13 UTC 2025
#@# Nu Intensity Correction Wed Jun  4 08:11:13 UTC 2025
#@# Intensity Normalization Wed Jun  4 08:14:26 UTC 2025
#@# Skull Stripping Wed Jun  4 08:17:43 UTC 2025
#@# EM Registration Wed Jun  4 08:30:22 UTC 2025
#@# CA Normalize Wed Jun  4 08:39:39 UTC 2025
#@# CA Reg Wed Jun  4 08:41:01 UTC 2025
#@# SubCort Seg Wed Jun  4 10:53:13 UTC 2025
#@# CC Seg Wed Jun  4 11:36:47 UTC 2025
#@# Merge ASeg Wed Jun  4 11:37:44 UTC 2025
#@# Intensity Normalization2 Wed Jun  4 11:37:44 UTC 2025
#@# Mask BFS Wed Jun  4 11:42:11 UTC 2025
#@# WM Segmentation Wed Jun  4 11:42:13 UTC 2025
#@# Fill Wed Jun  4 11:46:56 UTC 2025
#@# Tessellate lh Wed Jun  4 11:48:25 UTC 2025
#@# Tessellate rh Wed Jun  4 11:48:30 UTC 2025
#@# Smooth1 lh Wed Jun  4 11:48:35 UTC 2025
#@# Smooth1 rh Wed Jun  4 11:48:37 UTC 2025
#@# Inflation1 lh Wed Jun  4 11:48:40 UTC 2025
#@# Inflation1 rh Wed Jun  4 11:48:52 UTC 2025
#@# QSphere lh Wed Jun  4 11:49:06 UTC 2025
#@# QSphere rh Wed Jun  4 11:50:34 UTC 2025
#@# Fix Topology lh Wed Jun  4 11:52:17 UTC 2025
#@# Fix Topology rh Wed Jun  4 11:55:10 UTC 2025
#@# Smooth2 lh Wed Jun  4 12:06:29 UTC 2025
#@# Smooth2 rh Wed Jun  4 12:06:32 UTC 2025
#@# Inflation2 lh Wed Jun  4 12:06:35 UTC 2025
#@# Inflation2 rh Wed Jun  4 12:06:49 UTC 2025
#@# Curv .H and .K lh Wed Jun  4 12:07:04 UTC 2025
#@# Curv .H and .K rh Wed Jun  4 12:07:41 UTC 2025
#@# Sphere lh Wed Jun  4 12:08:20 UTC 2025
#@# Sphere rh Wed Jun  4 12:15:26 UTC 2025
#@# Surf Reg lh Wed Jun  4 12:22:29 UTC 2025
#@# Surf Reg rh Wed Jun  4 12:27:39 UTC 2025
#@# Jacobian white lh Wed Jun  4 12:33:46 UTC 2025
#@# Jacobian white rh Wed Jun  4 12:33:47 UTC 2025
#@# AvgCurv lh Wed Jun  4 12:33:48 UTC 2025
#@# AvgCurv rh Wed Jun  4 12:33:49 UTC 2025
#@# Cortical Parc lh Wed Jun  4 12:33:49 UTC 2025
#@# Cortical Parc rh Wed Jun  4 12:34:01 UTC 2025
#@# white curv lh Wed Jun  4 12:49:48 UTC 2025
#@# white area lh Wed Jun  4 12:49:50 UTC 2025
#@# pial curv lh Wed Jun  4 12:49:51 UTC 2025
#@# pial area lh Wed Jun  4 12:49:53 UTC 2025
#@# thickness lh Wed Jun  4 12:49:53 UTC 2025
#@# area and vertex vol lh Wed Jun  4 12:50:19 UTC 2025
#@# white curv rh Wed Jun  4 12:50:20 UTC 2025
#@# white area rh Wed Jun  4 12:50:22 UTC 2025
#@# pial curv rh Wed Jun  4 12:50:23 UTC 2025
#@# pial area rh Wed Jun  4 12:50:25 UTC 2025
#@# thickness rh Wed Jun  4 12:50:26 UTC 2025
#@# area and vertex vol rh Wed Jun  4 12:50:52 UTC 2025
#@# Curvature Stats lh Wed Jun  4 12:50:54 UTC 2025
#@# Curvature Stats rh Wed Jun  4 12:50:56 UTC 2025
#@# Cortical ribbon mask Wed Jun  4 12:50:59 UTC 2025
#@# Cortical Parc 2 lh Wed Jun  4 12:54:59 UTC 2025
#@# Cortical Parc 2 rh Wed Jun  4 12:55:15 UTC 2025
#@# Cortical Parc 3 lh Wed Jun  4 12:55:33 UTC 2025
#@# Cortical Parc 3 rh Wed Jun  4 12:55:46 UTC 2025
#@# WM/GM Contrast lh Wed Jun  4 12:55:59 UTC 2025
#@# WM/GM Contrast rh Wed Jun  4 12:56:02 UTC 2025
#@# Relabel Hypointensities Wed Jun  4 12:56:06 UTC 2025
#@# APas-to-ASeg Wed Jun  4 12:56:32 UTC 2025
#@# AParc-to-ASeg aparc Wed Jun  4 12:56:48 UTC 2025
#@# AParc-to-ASeg aparc.a2009s Wed Jun  4 12:58:48 UTC 2025
#@# AParc-to-ASeg aparc.DKTatlas Wed Jun  4 13:00:47 UTC 2025
#@# WMParc Wed Jun  4 13:02:50 UTC 2025
#@# Parcellation Stats lh Wed Jun  4 13:09:52 UTC 2025
#@# Parcellation Stats rh Wed Jun  4 13:10:09 UTC 2025
#@# Parcellation Stats 2 lh Wed Jun  4 13:10:26 UTC 2025
#@# Parcellation Stats 2 rh Wed Jun  4 13:10:35 UTC 2025
#@# Parcellation Stats 3 lh Wed Jun  4 13:10:44 UTC 2025
#@# Parcellation Stats 3 rh Wed Jun  4 13:10:53 UTC 2025
#@# ASeg Stats Wed Jun  4 13:11:02 UTC 2025
#@# BA_exvivo Labels lh Wed Jun  4 13:14:11 UTC 2025
#@# BA_exvivo Labels rh Wed Jun  4 13:17:37 UTC 2025
recon-all -s sub-038 finished without error at Wed Jun  4 13:21:07 UTC 2025
